"","x"
"4222","zresetuj kompa :d"
"4223","o ok. ale jak nie zadziala to szukam innego serwisu z serialami. TAK IITV! TO JEST GROZBA!"
"4224","no ja szuka³am ale na serialachonline tez mi sie nie chce w³¹czyæ kilka innych stron tez przeszuka³am porazka :|"
"4225","AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA JESTEM WKURWIONAAAAA. ide ogladac jak stracic chlopaka w 10 dni. moze to mnie uspokoi"
"4226","to poszukajmy chociaz napisow polskich. to sie ogladnie orginalna wersje z napisami obok"
"4227","po co to logowanie?"
"4228","haha ja mysle ze poogl¹damy 2 min serialu i sprawdzimy napisy w notatniku ;d"
"4229","ja czasami tak robie ze mam obok notatnik i jak czegos nie kumam to sprawdzam xd"
"4230","s¹ ale dwa ostatnie nie maj¹ napisów chocia¿ odcinek jest ju¿ w necie od miesi¹ca a napisy od 3 tyg !!"
"4231","ktoœ mo¿e kojarzy, jaki jest tytu³ serialu...jakiœ ojciec wychowuje syna, który jest chyba trochê autystyczny, ma zdolnoœci matematyczne i przepowiada przysz³oœæ? wyszed³ jakoœ niedawno."
"4232","jest ale na jakims beznadziejnym portalu na którym nie da siê ogl¹daæ bez limitu premium"
"4233","NIE DA SIÊ OGL¥DAÆ NIC !!!!"
"4234","na maxvieo by³o dobrze to teraz na streamo nie da sie nic ogladac ;x"
"4235","przyda³y by siê sprawne napisy do Being Human.... poprzednie wyprzedza³y akcjê :/"
"4236","dziêkujê za dodanie odcinka na maxvideo :)"
"4237","plotkara te¿"
"4238","pragnê zg³osic gor¹ce zapotrzebowanie na t³umaczenia Suburgatory, Lost Girl, Hart of Dixie oraz Cougar Town. Szanownych T³umaczy, którym siê zachce, serdelecznie ca³ujê."
"4239","zamierzacie jeszcze dodawaæ Gwiezdne wojny - Wojny Klonów? :)"
"4240","Pod playerem ze streamo jest link \Zobacz linki do pozosta³ych hostingów\"" - taki wielki problem kliknac w niego zeby zobaczyc inne linki? Tam sa odnosniki do waszego ulubionego maxvideo i innych - tak jak kiedys bylo. Nawet w identyczny sposob to dziala. Kiedys klikaliscie guzik \""ogladaj\"" teraz trzeba kliknac \""Zobacz linki do pozosta³ych hostingów\""."""
"4241","mog³yby ju¿ byæ napisy do trzech ostatnich odcinków Hart of Dixie... ;(((( ona mówi tak szybko ¿e nie sposób j¹ zrozumieæ ;D"
"4242","aaa... nie zauwa¿y³am ;]"
"4243","prosze sprawdzic  Napisy PLhttp://xvidstage.com/wl7qym08tnj2 http://sharefiles4u.com/3sl1xuh1mna4 http://xvidstream.net/w5kcajo0yfsd  http://vidstream.us/video/BS1Y4YM2GAMG/Once-Upon-a-Time-0113PL http://xvidstage.com/q8atz4p1abf6 te linki s¹ niebezpieczne program antywirusowy uzna³ je za programy szpiegujace ponad to do tych linków sa podpiete linki z trescia erotyczna naprawde musze ogladaæ go³e dupy ??? Litoœci i troszke odpowiedzialnosci wasze linki otwiera tez liczba fanów która jest niepe³noletnia  "
"4244","Dotknij  \Touch\"" na Nowy, intryguj¹cy seryjny Dramatyczny autorstwa Tima Kringa (\""Herosi\""). G³ówna rola Zagra W NIM Kiefer Sutherland, DLA którego ¿art na Pierwszego Proje"""
"4245","Bardzo dziekuje za \chirurdzy\"" a kiedy bedzie pamietnik wampirów ? """
"4246","dodajcie mo¿e jakiœ normalny odcinek plotkary co da sie ogladnaæ a nie albo tylko do po³owy albo na stronie z wirusem ..."
"4247","Odcinek 14 z sezonu 1 ju¿ z napisami!"
"4248","Dalibyœcie normalnie Futuramê ,a nie jakieœ linki do rejestracji"
"4249","Kiedy bêdzie nowy odcinek Pamiêtników Wampirów ?? "
"4250","mozna wiedziec kiedy bedzie 15 odcinek (z 3 sezonu) serialu Glee ? Nie wiem czy w koncu Quinn dedla czy moze zyje !!!"
"4251","2 broke girls dajcie ju¿ :D"
"4252","juz 14? ;D  utknê³am na 9 ale okey ;p"
"4253","Kochani co z napisami do 14 i 15 NCIS? Wyprzedzi³a je 16. Jakiœ zastój?"
"4254","Popieram. Ju¿ wielokrotnie prosi³am o zwrócenie na to uwagii ale bez odzewu. Dziwne, bo przecie¿ im wiêcej u¿wytkowników zagl¹da na wasz¹ stronê tym wiêcej klikniêæ i reklamodawców. Poco pytaliœcie o opinie, gdzie najlepiej siê ogl¹da ale widaæ, ¿e chyba niepotrzebnie wielu u¿ytkowników zwraca uwagê na te problemy. Co¿ pora poszukaæ czegoœ innego."
"4255","To dziwne .... ¿e  dzisiaj istotnie  wcale nie bez problemów - dzia³a - a co bêdzie jutro???? .Dlaczego jednak czêsto buforuje...."
"4256","i czemu Skins zawsze jest wrzucany na takich s³abych playerach? Np na tym streamo, na zbuforowanie trzeba czekaæ ca³y dzieñ;/"
"4257","A co z Vampirami?"
"4258","streamo -NIE ! anyfiles-TAK !"
"4259","nie bedzie pamietnikow wampirow"
"4260","czy ktos moze wie"
"4261","Czy mo¿na poprosiæ o nowy link do Plotkary - odcinka s05e16 Cross Rhodes? Na przyk³ad w video.anyfiles.pl "
"4262","15 marca"
"4263","Ale d³uugo i Tajemnego Krêgu te¿!! ; dd"
"4264","co siê dzieje z napisami do \¯ona Idealna\""? ju¿ zdeczka d³ugo siê robi¹ ;>"""
"4265","Tak dla - anyfiles, odsiebie i putlocker."
"4266","znowu jest przerwa? no super."
"4267","jest problem z  nowym odcinkiem skins (mini) stronki do otwarzania wyœwietlaj¹ mi ¿e nie mam odpowiednniej wtyczki aby odtwarzaæ. Gdy chcê j¹ pobraæ mój antywirus informuje mnie o tysi¹cu wirusów. co sie dzieje?"
"4268","kiedy bêda napisy do Jane by design?"
"4269","nie pobieraj wtyczek ja rozwali³am system wirusami"
"4270","widzê, ¿e teraz trzeba p³aciæ, by cokolwiek coœ obejrzeæ... kiepsko"
"4271","dopiero rusza kolejny odcinek 16 marca :)"
"4272","TVD upcoming episodes titles: 3.16- 1912  3.17- Break On Through 3.18- The Murder of One 3.19- Heart of Darkness 3.20- Do Not Go Gentle"
"4273","Zaloggowaæ ani Bo¿e mój."
"4274","widocznie 3 dni to za malo zeby dojrzec link o tresci \Zobacz linki do pozosta³ych hostingów\"" i obejrzec w innym playerze"""
"4275","sorry a co by³o nie tak z maxvideo? Teraz wogóle nie dzia³a"
"4276","dlaczego nie ma nowego odcinka pamietnika wampirów? :("
"4277","Ja jeszcze dodam od siebie, ¿e rzeczywiœcie jest tak, jak pisz¹ ludzie, ¿e rzadko kiedy udaje siê na STREAMO trafiæ na wolne ³¹cze (bez koniecznoœci logowania -to jeszcze pikuœ ;) - lub wykupywania PREMIUM). Mnie siê to uda³o dopiero dzisiaj od 3 dni bez ma³a. Czasem w œrodku nocy ok 3 jak wszyscy œpi¹ jest luŸno ale chyba nie o to chodzi ¿eby zarywaæ noce :) Osobiœcie ratujê siê wtedy PREMIUM na maxvideo z czego jestem zadowolony i nie to, ¿e szukam dziury w ca³ym ale faktycznie kiedyœ da dostêpnoœæ do ogl¹dania za free by³a lepsza. Chocia¿by zmienia³o siê IP albo poddawa³o siê gdzieœ link obróbce. ;) Fajnie by by³o gdyby bez k³opotów mo¿na by³o sobie dziennie obejrzeæ np 2 dowolne odcinki no a jak chcesz wiêcej to kup PREMIUM. Obecnie bez PREMIUM nie da siê tak czasem wcale nic ogl¹daæ. Mam to PREMIUM bo mi akurat teraz zale¿y ale czy zawsze je bêdê kupowa³ to nie wiem. ;)"
"4278","dziekuje za skinsow!"
"4279","Najlepszym oddtwarzaczem z jakiego udostepniliœcie ostatnio serial by³ DwnSHARE nic sie nie zacina i nie ma limitów, a dodatkowo wygl¹da jak stary dobry Megavideo. Tutaj przyk³adowy odcinek mMentalisty: http://dwn.so/v/DS58CDCEAD"
"4280","Bib Bang Theory, link wam znikn¹³ i nie da siê wejœæ bezpoœrednio z iitv.info ..."
"4281","Wszystkie s¹. Kolejny dopiero 16 marca w sieci"
"4282","Kiedy bêdzie odcinek 16?"
"4283","chujowe jak barszcz"
"4284","ZNOWU przeniesienie mojego ukochanego serialu gdzie indziej. To jest niepowa¿ne, nie mam zamiaru rejestrowaæ siê i wykupowaæ premium  na KA¯DEJ stronie, na któr¹ przekierujecie linki.  Widzia³am ju¿ wiele takich g³osów i dodajê te¿ swój - to niepotrzebne, by³o dobrze, wiêc po co zmieniaæ? No i co mam teraz niby zrobiæ z premium na maxvideo, skoro akurat w \LOST\"" nie ma ju¿ ich linków?..."""
"4285","odcinek 16 dopier rusza 16 marca"
"4286","Ja jakoœ widzê linki w lost do maxvideo - pod magiczn¹ i tajemniczo brzmi¹c¹ zak³adk¹ \Zobacz linki do pozosta³ych hostingów\"""""
"4287","ta szkoda,¿e nie dzia³aj¹ !"
"4288","Kiedy bêd¹ dzia³aæ linki na maxvideo? "
"4289","Te¿ uwa¿am, ¿e wprowadzenie streamo jest do bani- nic nie da siê obejrzeæ- nawet ja wstanê o 6.rano, bo myœlê, ¿e niewiele osób wtedy cokolwiek ogl¹da... Ale nie! Ci¹gle widzê, ¿e za du¿o osób ogl¹da dany serial. Mam tego doœæ. Chyba kupiê sobie telewizor i kablówkê- taniej wyjdzie ni¿ kupowanie kont premium na ka¿dym z polecanych playerów..."
"4290","dopiero 15 marca ma byæ nowy odcinek ;/"
"4291","ja tez ju¿ siê nie mogê doczekaæ tych napisów ;/"
"4292","niewdziecznik http://www.youtube.com/watch?v=YZnENaNZniQ"
"4293","Najnowszy odcinek Grimma ma jakoœ od 1/4 obsuwê w liœcie dialogowej. A z kolei ostatni odcinek Lost Girl ma inny problem: jak siê kliknie na link na stronie serialu, to wychodzi error 404 - nie znaleziono strony. (Zawsze Wasza, zawsze z wyrazami najwy¿szego szacunku za pracê na rzecz spo³ecznoœci.)"
"4294","Lost Girl s02e17 The Girl Who Fae’d With Fire - 404 nie znaleziono strony"
"4295","a odc 22[ostatni] z 7 sezonu? kto obejrzal gdziees to moze wie jak znalezc?"
"4296","Do fanow: One tree Hill, kto ogladal i wie jak znalezc 22[ostatni] odcinek z sezonu 7 ??"
"4297","Ju¿ dwa playery dostêpne bezpoœrednio na stronie - streamo i maxwideo. Pod playerami link do pozosta³ych hostingów."
"4298","u¿ywa ktoœ streamo czy tylko ja mam wiecznie z nim problem?"
"4299","Zawsze niby przeci¹¿one, jak mam darmowe zarejestrowane konto to te¿. Maxvideo jest ca³kiem przyjemne."
"4300","Dajcie downso czy jakos tak ! To wymiata ! bez reklam bez czekania :D"
"4301","maxvideo te¿ niezbyt dzia³a, na darmowym koncie zawsze jest ¿e limit zosta³ wykorzystany"
"4302","te streamery p³aca wam za t¹ reklame? wybieracie dwa najgorsze plajery, jedne z niewielu które po jakims czasie praktycznie wymuszaj¹ konta premium. A równoczeœnie jest muuuultum serwisów darmowych i szybkich(wystarczy spojrzeæ na amerykañskie odpowiedniki waszej strony i to, ¿e udostepniaj¹ film w nastu równych lokalizacjach). Wiem, ¿e jesteœcie darmowi i nie ma co narzekaæ, ale ja ju¿ po dobrym roku u¿ywania postanowi³em jednak o was zapomnieæ."
"4303","streamo wymaga konta premium. dopóki nie wykupi³am, nie da³o siê ogl¹daæ."
"4304","najlepsze jest odsiebie"
"4305","Na streamo wystarczy zalogowaæ siê. Informacja o koncie premium wyskakuje tylko wieczorem, gdy jest du¿o userów a i to czasem odœwie¿enie strony powoduje mo¿liwoœæ ogl¹dania za darmo."
"4306","w 14 odcinku Hart of Dixie napisy nie s¹ dopasowane do dŸwiêku:/ nie da siê tego ogl¹daæ. A co do playerów to anyfiles, odsiebie, putlocker, ostatecznie maxvideo."
"4307","dajcie gre o tron po polsku a nie ang..."
"4308","a co z Pretty Little Liars ?"
"4309","Czy Wy sprawdzacie synchro napisów nim umieœcicie link?? Grimm ostatni odcinek - maxvideo"
"4310","Raczej nie ;/ Tak samo jak i nie odpowiadaj¹ na nasze za¿alenia i problemy z odtwarzaniem czy t³umaczeniem ;/"
"4311","Powinniœcie zmieniæ kolejnoœæ wyœwietlania na liœcie odcinków. Od najnowszych do najstarszych a nie odwrotnie. Za ka¿dym razem muszê przewijaæ ca³¹ listê!"
"4312","stremo jest do bani"
"4313","A to przepraszam :) Po prostu zirytowa³am siê bo strasznie ciê¿ko jest teraz cokolwiek obejrzeæ kiedy siê ma na to czas i ochotê :)"
"4314","Downton Abbey .....Czy ktoœ móg³by wrzuciæ finalny odcinek z drugiego sezonu, ...na jakimœ fajnym playerze  typu putlocker, please::)"
"4315","Kochani a czy cos wiadomo o the killing II? na Ale Kino + podobno juz leci"
"4316","serial LIE TO ME polecam"
"4317","chcia³am ogl¹dn¹æ chirurgów ale musia³am za³o¿yæ konto na maxvideo wiêc to zrobi³am ale poŸniej naci¹gaj¹ na wykupienie konta premium"
"4318","czy mo¿na dodaæ napisy do Jane By Design?"
"4319","Premiera drugiej serii the killing 1 kwietnia, wiêc na ¿adnym ale kinie nie leci"
"4320","no to czekamy :)"
"4321","¯eby jeszcze najnowsze by³y na samiuœkim dole strony, mo¿na by waln¹æ End i pozamiatane, a tak? Jak ¿yæ?!"
"4322","witam wszystko mam placic i nie dziala Switched at Birth"
"4323","A moglibyœcie wrzucaæ do playera który nie wymaga rejestracji? >_>"
"4324","nie dosyæ, ¿e maxvideo ¿¹da rejestracji to jeszcze wygasza ekran w po³owie odcinka (po 15 min) i ¿¹da wykupienia pakietu premium! nie, dziêkujê."
"4325","no, a czyta³em niedawno gdzieœ ¿e chc¹ nas w konia zrobiæ i nie ujawni¹ na pocz¹tku mordercê Rosie jak to na pocz¹tku mia³o byæ ;p"
"4326","mo¿na prosiæ o wrzucenie odcinków serialu \Moja rodzinka\"" i \""Xena\""? ; p"""
"4327","Nie ma siê co oszukiwaæ. D³ugo jeszcze potrwa, zanim jakikolwiek serwis osi¹gnie status Megavideo"
"4328","super!"
"4329","sprawa jest taka, ¿e 14 odcinek Hart of Dixie rozwija siê od teraz jedynie w wersji bez t³umaczenia. a jeszcze parê godzin temu mia³ obie: bez i z."
"4330","http://xvidstage.com   http://xvidstream.net http://sharefiles4u.com  po co wrzucacie powiadomienie, ¿e jest dostêpny The Walking Dead, skoro z tych serwisów nie da siê u was ogl¹daæ..."
"4331","Maxvideo jest najlepszym playerem. Wykupi³am sobie konto premium (4 z³ na 2 tygodnie) i jest meega! dodawajcie odcinki na maxvideo! Proszê!! ;)"
"4332","oo Bo¿e, to wykup premium! 4 z³otych ci szkoda? -.-"
"4333","na maxvideo tylko 4 z³ na 2 tygodnie. Op³aca siê"
"4334","no w³aœnie, kiedy? ;]"
"4335","Szkoda, ¿e za³oga iitv nie s³ucha poszeptów u¿ytkowników (mimo, ¿e o to prosi sama). Zag³ówne playery wybieracie te na których praktycznie nie da siê ogladaæ za darmo, do tego wci¹z dodajecie linki xvidstage, xvidstream itp gdzie tak wiele osób informowa³o , ¿e s¹ tam wirusy a linnki nie dzia³aj¹. Coœ nie tak siê dzieje ze stron¹. Iitv jest stron¹ darmow¹ tylko co z tego jak ¿eby obej¿eæ filmy z podawanych przez stronê linków trzeba wykupiæ premium. To idzie moim, pewnie nic nie znacz¹cym zdaniem w z³¹ stronê."
"4336","wlasnie pröbowalam obejrzec GRIMM serie 1 episod 12 i co ?????????? HOLERA NIEDA RADY ........potem pröbowalam obejrzec najnowszy GOTOWE NAWSZYSTKO ........TO SAMO .niemozna wejsc na link .......O CO CHODZI ??? naprawde lubie waszä strone JESTEM ZALAMANA"
"4337","Jak mo¿na mieæ postawê roszczeniow¹ kiedy samemu sie nic nie zrobi³o? Wstyd i jeszcze raz wstyd. Zamiast dziêkowaæ i doceniaæ pracê innych urz¹dzacie sobie tutaj ksiêgê skarg i za¿aleñ. Czasami wypada³oby pomyœleæ. Momentami brak mi s³ów."
"4338","medicopter 117 nie dziala jest blad 404 nie znaleziono strony"
"4339","odcinek 02x15 Hawaii FIve O mimo ze jest napisane ze sa napisy to tak naprawde ich nie ma "
"4340","Odcinek 6 z sezonu 7 ju¿ z napisami!"
"4341","Kiedy bêd¹  Pamiêtniki Wampirów ?"
"4342","szkoda, ¿e ¿adne mi nie dzia³a"
"4343","yyy, ale nodcinek ma juz ponad miesiac?"
"4344","Aha Dziêkuje za informacjê ; )"
"4345","po co wrzucacie na g³own¹ odcinek KOŒCI skoro by³ ju¿ on z napisami 14 stycznia ? tak a propos wie ktoœ kiedy ruszaj¹ nastêpne odcinki?"
"4346","iiTV.info - najlepsze seriale online, jakaœ odpowiedŸ?"
"4347","7x07 w sieci bêdzie 3 kwietnia"
"4348",":O trzy miesiêczna przerwa ?!"
"4349","Musz¹ mieæ te¿ czas na nakrêcanie odcinków ; )) Ale i tak g³upio, ¿e tak d³uuugo!! :("
"4350","Niestety ostatnich odcinków Bia³ego ko³nierzyka pod tymi stronami ju¿ nie ma :( i chyba teraz ju¿ ich nie obejrzê. Nie mam si³y walczyæ z innymi hostingami. Jestem rozczarowana... ."
"4351","kiedy dodacienowy odc 90210 :(?"
"4352","PRZENIEŒCIE PROSZÊ CHIRURGÓW OD SEZONU 5 Z LEKTOREM NA MAXVIDEO. LEKTOR JEST TYLKO NA OD SIEBIE! PLISSS"
"4353","Ile czasu trzeba czekaæ na napisy do Plotkary, Pretty Little Liars i The Lying Game ? proszê o szybk¹ odp. ;))"
"4354","Napisy dziadowsko wklejone w Dwóch i pó³ :/"
"4355","I jeszcze \plisss\"" o nowe odcinki 6.sezonu PSYCH :)"""
"4356","u mnie nadal maxvideo nie dzia³a, nie widzi plików czy ktos ma podobnie?"
"4357","Fajny Justyœ jest?masz coœ do polecenia dla mnie:D?"
"4358","niestety brak napisów."
"4359","video-art jest lepsze a Wy wrzucacie wszystkie filmy z lektorem na od siebie! pliss zrobcie coœ z tym;) Mi³ego dnia ekipo iitv:) "
"4360","http://www4.zippyshare.com/v/17025758/file.html tu napisy ktore w nocy by³y na stronie z napisami a rano zniknê³y dla tych którzy œci¹gneli sobie odcinek ;d"
"4361","ej, jest bez napisow lol "
"4362","ja juz wam dziekuje ......niekorzystam z waszej strony wiecej"
"4363","\Zobacz linki do pozosta³ych hostingów\"" -> zakladka \""Napisy PL\"" - 6 linków jest, do ró¿nych serwisów"""
"4364","Kiedy bêd¹ napisy do Hart of dixie, Jane by design, 2 broke girls, Pretty Little Liars i Plotkary???"
"4365","te¿ czekam ;("
"4366","okey ;)"
"4367","inima nu respecta reguli"
"4368","zrobcie cos z serialem medicopter 117 niestety nie dziala"
"4369","a co z Hawaii Five-0?"
"4370","Wiadomo ile odcinków bêdzie mia³ 8 sezon?"
"4371","wolê przerzuciæ siê na inn¹ stronê z serialami, ni¿ zak³adaæ konta nie wiadomo gdzieœ i potem mieæ pe³no spamu na skrzynce ;/"
"4372","i ja te¿! Na xoxo GG ;)"
"4373","kiedy pojawi¹ siê odcinki 8. i 9. sezonu Allo Allo :>"
"4374","powinien mieæ 22 odcinki."
"4375","a kiedy poprzednie sozony beda z lektorem??"
"4376","Kiedy bêd¹ napisy do czterech pancernych i pies?:D Pierwszy i szósty odcinek 1 sezonu jest tylko po angielsku he he"
"4377","a co z body of proof???"
"4378","kiedy  bêdzie dostêpny 8 odc. Californication ?"
"4379","Ceci DX to see ya i droga wolna tylko moment hmm  czy to wina iiTV ¿e megavideo zamknêli i trzeba odtworzyæ bazê seriali? Bo z tego co wiem wiêkszoœæ innych stron z serialami znalaz³o siê w podobnej sytuacji a czêœæ sobie nawet nie poradzi³a i zamknê³a interes b¹dŸ po prostu ma linki widma."
"4380","Szkoga ¿e siê koñczy"
"4381","witam, kiedy bedzie 8 odc californication? premiera by³a 26lutego"
"4382","milusio :)"
"4383","Jestem zachwycona ¿e dodaliœcie czterech pancernych :) Czekam na uzupe³nienie odcinków by zacz¹æ ogl¹daæ :) "
"4384","Daty wrzucenia odcinków (jak przy Housie), to to czego potrzebowa³am! Jakby siê uda³o tak przy ka¿dym nowym to by³oby niesamowicie pomocne :)"
"4385","dajcie odcinki sezonów 8-11 My family"
"4386","doczekamy siê kolejnego odcinka z napisami ? bo ju¿ jest 2 dni [ENG]..."
"4387","Grzecznie Pytam Gdzie Californication ? :)  grrrr ! "
"4388","Co sie dzieje z maxvideo ?? Nie moge nic obejrzec..."
"4389","Odcinek 18 z sezonu 7 ju¿ z napisami!"
"4390","trzeba obejrzeæ przed zajêciami :D"
"4391","no w koñcu - ju¿ nie mog³am sie doczekaæ <3"
"4392","quinn mhmmm:)"
"4393","z innej beczki: przy niektorych serialach z linkami 'z napisami' kryje sie wersja z lektorem :/ np sherlock"
"4394","Nie dzia³a, bynajmniej u mnie ; / ."
"4395","\Video not found\"" u mnie tak¿e nie œmiga ; /"""
"4396","medicopter s01e05 nie dziala:("
"4397","oooszz kurde ... wchodze i pisze ; video not found ;/ jak bd tak z pamietnikami wampirow albo tajemniczy krag 15 marca to sie zabije !! ;p"
"4398","Czemu jak w³¹czam jakiœ odcinek to pisze not found<na ka¿dym playerze>?"
"4399","to giñ, selekcja naturalna robi swoje"
"4400","Nic nie dziala na stronie..."
"4401","co siê dzieje z Pretty Little Liars ¿aden link nie chodzi a ten od maxvideo ju¿ napewno... "
"4402","Proponujê klikn¹æ \Zobacz linki do pozosta³ych hostingów\"" :P"""
"4403","to nic nie da XD"
"4404","U mnie da³o.."
"4405","translate.google.pl"
"4406","dajcie napisy do Plotkary!"
"4407","Zrób je to dadz¹."
"4408","Maj¹ je nakrêciæ? Odcinek 8 jeszcze nie zosta³ wyemitowany."
"4409","Odcinek 8 jeszcze nie zosta³ wyemitowany."
"4410","Kiedy bêdzie 8 odcinek Californication, którego premiera by³a 26 lutego? :P"
"4411","co siê znowu sta³o z maxvideo?? ¯aden link od nich nie dzia³¹.... "
"4412","maxvideo nie dzia³a :("
"4413","Ok, ok, gdzie jest Californication i Alcatraz? ;-)"
"4414","z tego co widzê to ten problem jest ju¿ przynajmniej od 8 h i do tej pory ¿adnego oficjalnego oœwiadczenia :/"
"4415","z putlockera mozna ogladac teoretycznie tylko"
"4416","Powinno byæ ju¿ wszystko ok"
"4417","dzia³a :) dziêki za info"
"4418","Odcinek 7 z sezonu 2 ju¿ z napisami!"
"4419","Ju¿ dzia³a! Huuuraaaa! :)"
"4420","Dziêki maxvideo.pl :)"
"4421","a gdzie californication?"
"4422","\ze wzglêdu na galê rozdania oscarów emisja kolejnego odcinka (8) californication zosta³a przeniesiona na 4 marca\"" info z filmweba."""
"4423","Co to ma byæ, mam limit na jeden odcinek dziennie chyba, ze zap³acê komuœ za konto premium?!"
"4424","haha a na maxvideo mam premium..:D"
"4425","a to chyb, ze tak ;d"
"4426","Najs³odsi T³umacze! Najgrzeczniej proszê o jak najszybsze przet³umaczenie Suburgatory! Z góry dziêkujê jak najuprzejmiej!"
"4427","Oraz Hart of Dixie i Cougar Town :****"
"4428","by³oby mi³o gdyby 2 broke girls i big bang theory te¿ by³y..."
"4429","znowu maxvideo:/ nie ma opcji ¿eby by³ link do odsiebie, anyfiles lub putlocker?"
"4430","@ jesli nie rozumiesz to t³umacze, ¿e nie znaleziono pliku. Kapisz?"
"4431","Kiedy 17 odcinek 5 sezonu \Plotkary(Gossip Gril)\"" bêdzie dostêpny z napisami? :) """
"4432","26lutego mia³ byc?"
"4433","Dok³adnie... maxvideo ssie ;/"
"4434","Najnowszy Californication z napisami. bardzo prosze !! :D"
"4435","Noo na reszcie, bo ju¿ siê przymierza³em do ogl¹dania po ang :D"
"4436","player jest z maxvideo ale link do anyfiles tez jest"
"4437","kiedy odcinki Jane by design bêd¹ przet³umaczone? "
"4438","A kiedy bêdzie 15?! ;("
"4439","dziêkujemy:)"
"4440","jest szansa na napisy do Jane by Design i dodanie innych linków do Hawaii 5.0 odcinek 15 sezon 2 oraz Castle odcinek 15 sezon 4?"
"4441","Nie by³o premiery 26. Nowy odcinek bêdzie mia³ premierê dopiero 4.03. :-)"
"4442","Kiedy bêdzie mo¿na ogl¹daæ nowe odcinki Pogromców Mitów ? :D"
"4443","na maxvideo trzeba siê zarejestrowaæ i zalogowaæ a jak to zrobi³am to siê okaza³o ze ju¿ mi siê darmowy limit wyczerpa³,do d..y taka robota  "
"4444","Dziœ pojawi³ siê w sieci pilot 1 sezonu wg mnie super zapowiadaj¹cego siê serialu - AWAKE - mam nadziejê, ¿e bêdzie dostêpny na iiTV :D"
"4445","Streamo nie trybi. Mi wyskakuje komunikat, ¿e trzeba siê zarejestrowaæ."
"4446","Ale nie o krêcenie chodzi, a o prze³o¿enie z powodu oscarow :)"
"4447","Szkoda, ¿e pazernoœæ przewy¿szy³a i z sensownego serwisu zrobiliœcie takiego gniota jakich ma³o. pozdrawiam."
"4448","gdzie podzia³y siê linki do odcinków na video.anyfiles? Najszybciej ³aduj¹ce siê, za darmo i w akceptowalnej jakoœci. Pewnie niez³¹ ³apówê dostaliœcie od innych serwisów ;)"
"4449","Ratunku - odcinek 6 Prime Suspect nie ma t³umaczenia :/"
"4450","nie podzielam podejrzeñ, ale podzielam opiniê o anyfiles. w dodatku nie ma ograniczeñ czasowych. dodacie wiêcej linków do anyfiles? odsiebie te¿ nie jest z³y."
"4451","Ja te¿ jestem za anyfiles, ale najbardziej mi siê podoba³ putlocker, wiêc dajcie któryœ z nich bez ¿adnych ograniczeñ czasowych."
"4452","Odcinek 17 z sezonu 5 ju¿ z napisami!"
"4453","w koncu :D"
"4454","Takie pytanko, kiedy przet³umaczycie s01e13 i s01e14 Person of Interest? Bo s01e15 jest po polsku, a trochê smutno tak. Pozdrawiam serdecznie. "
"4455","nareszcie;)"
"4456","no nareszcie:d"
"4457","Odcinek daremny.  Plotkara idzie na dno niestety. Mówiê to z przykroœci¹ gdy¿ jestem wielk¹ fank¹ tego serialu. Królowa \B\"" i Dan?? ¯enada. ¯al mi Chucka."""
"4458","Blair i Dan ? jestem jak najbardziej za! <3"
"4459","Ja sobie zdajê sprawê, ¿e to podobno u¿ytkownicy wysy³aj¹ do Was propozycje linków, ale jakoœ ¿aden mój nigdy nie zosta³ zaakceptowany, bo ktoœ zd¹¿y³ ju¿ go wczeœniej wys³aæ. Wiêc nie wydaje mi siê, ¿eby u¿ytkownicy przestali linki z tych serwisów wysy³aæ."
"4460","jesli Blair dalej bedzie chciala cos z Danem, to przestaje ogladac ;/"
"4461","Kasiu, masz racjê. GG zesz³o na psy i chyba lepiej by by³o ju¿ zakoñczyæ tê seriê, bo twórcom ewidentnie brakuje ju¿ porz¹dnych pomys³ów na fabu³ê, a bohaterowie ju¿ nie s¹ tak wyraziœci jak na pocz¹tku. Powoli zaczyna mi siê to kojarzyæ z Mod¹ na sukces, ka¿dy z ka¿dym bez g³êbszego sensu... Jak Blair na koniec przylepi³a siê do Dana, a¿ mi siê œmiaæ zachcia³o."
"4462","Dok³adnie. Trzeba wiedzieæ kiedy powiedzieæ koniec. Serial ci¹gn¹ tylko dla kasy. Kompletny brak pomys³ów na 5 sezon. Chyba najciekawsze z tego wszystkiego jest w¹tek Ivy/Charlie i teraz tego testamentu. Zdecydowanie bardziej interesuj¹ce od rozwdojenia jaŸni Blair. \Kocham Ciê i zawsze bêdê Ciê kochaæ ale nie jestem w Tobie zakochana\"" k**wa! czy oni wiedz¹ co oni pie**ol¹??"""
"4463","Na pewno mówimy o tym samym odcinku? Mówiê o odcinku pod tytu³em \Raw\"", ósmy. W serwisie oznaczona data premiery 26.02"""
"4464","Nowy serial! Zapraszamy do ogl¹dania pierwszego odcinka!"
"4465","Proponujê dodaæ tak¿e Stra¿nika Teksasu"
"4466","A ja proponujê dodaæ 30 rock:-)"
"4467","\...a w drugiej jego umar³ jego syn.\"" dobry flow! ;P"""
"4468","muszê przyznaæ, ¿e to najlepszy serwis z serialami online. Najwiêkszy wybór i co najwa¿niejsze - dzia³a, pomimo afery z megavideo"
"4469","to bêdzie dobry serial !;-)"
"4470","video not found:/"
